,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,0.9996875,0.999375,0.00015625,0.0,0.499921875,0.4996875,0.5004246919518854,0.5006237936492767
1,0.23015625,0.24625,0.24375,0.266875,0.236953125,0.2565625,0.6680324063375035,0.6556659864396538
2,0.416875,0.448125,0.13734375,0.16875,0.277109375,0.3084375,0.6554250371610274,0.6369161087201134
3,0.5953125,0.618125,0.0553125,0.059375,0.3253125,0.33875,0.6350315921756939,0.6249800891640193
4,0.35609375,0.388125,0.18265625,0.206875,0.269375,0.2975,0.6450602812816701,0.6295720117486955
5,0.38375,0.418125,0.22546875,0.245,0.304609375,0.3315625,0.6390392987620802,0.6202334092077496
6,0.6775,0.698125,0.053125,0.065,0.3653125,0.3815625,0.6171800075928151,0.6019771985511633
7,0.5059375,0.524375,0.20875,0.225,0.35734375,0.3746875,0.6061377228992063,0.5945277550064267
8,0.740625,0.755625,0.0203125,0.0275,0.38046875,0.3915625,0.6146990256919441,0.5999992193654413
9,0.4946875,0.531875,0.199375,0.23125,0.34703125,0.3815625,0.6144238698395325,0.5941715155204242
10,0.858125,0.876875,0.01546875,0.015625,0.436796875,0.44625,0.5701522203202437,0.559309767826923
11,0.54828125,0.58875,0.1471875,0.17875,0.347734375,0.38375,0.6185068648516203,0.590111984309461
12,0.38625,0.43,0.33109375,0.3825,0.358671875,0.40625,0.6088860167616256,0.5780660672028174
13,0.6878125,0.724375,0.08890625,0.11125,0.388359375,0.4178125,0.5956919798569065,0.5698211928875757
14,0.8046875,0.820625,0.0421875,0.056875,0.4234375,0.43875,0.5768451345530551,0.56224060272667
15,0.833125,0.826875,0.02015625,0.0325,0.426640625,0.4296875,0.5772786425925256,0.5652012300067009
16,0.55765625,0.598125,0.2003125,0.258125,0.378984375,0.428125,0.6026997910168417,0.5653797576875914
17,0.50359375,0.54875,0.2515625,0.3075,0.377578125,0.428125,0.6059494697255601,0.5636451409485593
18,0.62171875,0.658125,0.10828125,0.141875,0.365,0.4,0.6176627457576683,0.5862075623379712
19,0.3965625,0.445,0.26359375,0.31875,0.330078125,0.381875,0.6396165693545551,0.5977994986157219
20,0.5359375,0.585,0.1803125,0.241875,0.358125,0.4134375,0.6255533298366306,0.581823694901805
