,causal,causal,noncausal,noncausal,total,total,symmetry,symmetry
,train,validation,train,validation,train,validation,train,validation
0,1.0,1.0,0.0,0.0,0.5,0.5,0.5001888263000727,0.49971034540122766
1,0.2625,0.2625,0.6375,0.6375,0.45,0.45,0.5026004012506743,0.5017690233866345
2,0.3125,0.3,0.5125,0.5625,0.4125,0.43125,0.5040236079950754,0.5028309735652146
3,0.284375,0.2875,0.546875,0.5875,0.415625,0.4375,0.504243886296379,0.5027363386478639
4,0.23125,0.2125,0.59375,0.625,0.4125,0.41875,0.5045656696363715,0.5026680897186894
5,0.346875,0.3875,0.434375,0.525,0.390625,0.45625,0.5054702081381045,0.5033330361665402
6,0.2875,0.3375,0.5,0.65,0.39375,0.49375,0.5055963408809498,0.5030128760043946
7,0.515625,0.6,0.2125,0.3,0.3640625,0.45,0.506249860347866,0.5035322407409845
8,0.328125,0.3625,0.4625,0.5375,0.3953125,0.45,0.5065491962528004,0.5036527806987156
9,0.49375,0.6125,0.25,0.35,0.371875,0.48125,0.5068107445171666,0.503545985930997
10,0.509375,0.6,0.228125,0.3375,0.36875,0.46875,0.5066629685597729,0.503289814157444
